app_du,observed_minutes,coverage_ratio,imputed_ratio,mean_active_container_count,mean_service_cpu_used_cores_proxy,peak_service_cpu_used_cores_proxy,global_minute_start,global_minute_end,global_span_minutes,selected_containers,mean_container_request_cores,median_container_request_cores,mean_container_mem_size,unique_containers,span_seconds,matched_containers,container_hit_ratio,usage_rows_scanned,matched_container_minute_rows,max_seen_container_id
app_4371,11209,0.9730034722222223,0.02699652777777778,416.2501736111111,265.99859809027777,558.026666666666,1440,12959,11520,78,4.0,4.0,1.56,78,678039,78,1.0,4015549996,1060584299,71476
app_442,11209,0.9730034722222223,0.02699652777777778,1589.8001736111112,2162.4403758101835,4240.480000000009,1440,12959,11520,298,8.0,8.0,3.13,298,678053,296,0.9932885906040269,4015549996,1060584299,71476
app_9733,11209,0.9730034722222223,0.02699652777777778,586.8954861111112,380.7269774305557,788.9600000000005,1440,12959,11520,112,8.0,8.0,3.13,112,678827,110,0.9821428571428571,4015549996,1060584299,71476
app_3136,11208,0.9729166666666667,0.027083333333333334,618.6092013888889,667.0304006365736,1153.0799999999995,1440,12959,11520,138,4.0,4.0,1.56,138,678062,138,1.0,4015549996,1060584299,71476
app_2819,11208,0.9729166666666667,0.027083333333333334,687.1122395833333,353.2646280092592,823.400000000002,1440,12959,11520,139,8.0,8.0,3.13,139,678070,139,1.0,4015549996,1060584299,71476
app_498,11208,0.9729166666666667,0.027083333333333334,974.0427083333333,321.58314120370466,665.5999999999996,1440,12959,11520,187,4.0,4.0,1.56,187,678026,187,1.0,4015549996,1060584299,71476
app_5159,11208,0.9729166666666667,0.027083333333333334,566.6784722222222,206.8859762731483,801.040000000002,1440,12959,11520,105,4.0,4.0,1.56,105,666152,105,1.0,4015549996,1060584299,71476
app_4038,11208,0.9729166666666667,0.027083333333333334,1470.87734375,2540.029849768516,4263.639999999995,1440,12959,11520,280,8.0,8.0,2.34,280,678739,279,0.9964285714285714,4015549996,1060584299,71476
app_4832,11208,0.9729166666666667,0.027083333333333334,1144.746875,587.1175180555546,3787.6999999999707,1440,12959,11520,215,4.0,4.0,1.56,215,678067,213,0.9906976744186047,4015549996,1060584299,71476
app_7876,11208,0.9729166666666667,0.027083333333333334,1519.0605902777777,633.5613503472201,10073.29333333344,1440,12959,11520,513,8.0,8.0,3.13,513,686011,501,0.9766081871345029,4015549996,1060584299,71476
app_4220,11208,0.9729166666666667,0.027083333333333334,704.6227430555556,1248.9123373842604,3153.0399999999972,1440,12959,11520,194,8.0,8.0,3.1300000000000003,194,693993,189,0.9742268041237113,4015549996,1060584299,71476
app_7908,11207,0.9728298611111111,0.02717013888888889,1298.5864583333334,1744.8893203124992,4232.4666666666035,1440,12959,11520,243,4.0,4.0,1.5600000000000003,243,678042,243,1.0,4015549996,1060584299,71476
app_4456,11207,0.9728298611111111,0.02717013888888889,1315.8848090277777,1544.0871830439803,3010.44666666667,1440,12959,11520,248,4.0,4.0,1.56,248,660392,248,1.0,4015549996,1060584299,71476
app_2965,11207,0.9728298611111111,0.02717013888888889,1614.4557291666667,1039.521386284718,2715.8666666666836,1440,12959,11520,300,4.0,4.0,1.56,300,678039,300,1.0,4015549996,1060584299,71476
app_888,11207,0.9728298611111111,0.02717013888888889,397.5537326388889,259.34076921296287,427.0799999999999,1440,12959,11520,75,8.0,8.0,3.13,75,678827,75,1.0,4015549996,1060584299,71476
app_56,11207,0.9728298611111111,0.02717013888888889,701.9535590277778,254.10686093750004,487.97999999999945,1440,12959,11520,134,4.0,4.0,1.56,134,678026,134,1.0,4015549996,1060584299,71476
app_9541,11207,0.9728298611111111,0.02717013888888889,446.89184027777776,212.11380150462932,949.4,1440,12959,11520,94,8.0,8.0,3.13,94,692579,94,1.0,4015549996,1060584299,71476
app_5420,11207,0.9728298611111111,0.02717013888888889,515.7993923611111,196.3046791087965,1024.6800000000003,1440,12959,11520,99,4.0,4.0,1.56,99,678024,99,1.0,4015549996,1060584299,71476
app_9081,11207,0.9728298611111111,0.02717013888888889,377.95911458333336,187.24025665509254,351.50666666666706,1440,12959,11520,71,4.0,4.0,1.56,71,668651,71,1.0,4015549996,1060584299,71476
app_7505,11207,0.9728298611111111,0.02717013888888889,669.1627604166666,87.06038194444346,1393.719999999999,1440,12959,11520,125,8.0,8.0,3.13,125,668725,125,1.0,4015549996,1060584299,71476
app_141,11207,0.9728298611111111,0.02717013888888889,2282.434635416667,4416.671716898138,8123.386666666681,1440,12959,11520,490,8.0,8.0,3.13,490,678050,489,0.9979591836734694,4015549996,1060584299,71476
app_3665,11207,0.9728298611111111,0.02717013888888889,820.959375,647.9189583333327,1993.460000000003,1440,12959,11520,225,4.0,4.0,1.56,225,693993,224,0.9955555555555555,4015549996,1060584299,71476
app_5657,11207,0.9728298611111111,0.02717013888888889,1217.96953125,1333.93566099537,3037.0400000000077,1440,12959,11520,232,4.0,4.0,1.56,232,684626,230,0.9913793103448276,4015549996,1060584299,71476
app_8661,11207,0.9728298611111111,0.02717013888888889,499.09609375,672.6120800925927,2296.4933333333333,1440,12959,11520,94,8.0,8.0,3.13,94,668699,93,0.9893617021276596,4015549996,1060584299,71476
app_7475,11207,0.9728298611111111,0.02717013888888889,1526.0875868055555,387.76701678240596,1138.2999999999959,1440,12959,11520,291,4.0,4.0,1.56,291,689378,287,0.9862542955326461,4015549996,1060584299,71476
app_8274,11207,0.9728298611111111,0.02717013888888889,1173.82421875,479.96932581018183,1287.1599999999996,1440,12959,11520,262,8.0,8.0,3.13,262,693993,258,0.9847328244274809,4015549996,1060584299,71476
app_5895,11206,0.9727430555555555,0.027256944444444445,1032.8491319444445,811.9234921874986,1759.8333333333323,1440,12959,11520,194,4.0,4.0,1.5599999999999998,194,678053,194,1.0,4015549996,1060584299,71476
app_2241,11206,0.9727430555555555,0.027256944444444445,671.8808159722222,702.3015729166673,1387.6799999999985,1440,12959,11520,125,4.0,4.0,1.56,125,678039,125,1.0,4015549996,1060584299,71476
app_2264,11206,0.9727430555555555,0.027256944444444445,711.3550347222222,526.0319178240736,881.9199999999988,1440,12959,11520,132,4.0,4.0,1.56,132,666152,132,1.0,4015549996,1060584299,71476
app_1675,11206,0.9727430555555555,0.027256944444444445,719.3868055555556,469.13969699074124,1788.2266666666665,1440,12959,11520,133,8.0,8.0,3.13,133,668642,133,1.0,4015549996,1060584299,71476
app_3183,11206,0.9727430555555555,0.027256944444444445,540.5487847222222,218.16133912036992,2462.8799999999965,1440,12959,11520,170,8.0,8.0,3.1300000000000003,170,678062,170,1.0,4015549996,1060584299,71476
app_3073,11206,0.9727430555555555,0.027256944444444445,854.6072048611111,107.14317557870385,208.98000000000084,1440,12959,11520,159,4.0,4.0,1.56,159,668732,159,1.0,4015549996,1060584299,71476
app_9352,11206,0.9727430555555555,0.027256944444444445,442.42786458333336,418.8728912037037,958.3999999999993,1440,12959,11520,112,4.0,4.0,1.56,112,668708,111,0.9910714285714286,4015549996,1060584299,71476
app_1215,11206,0.9727430555555555,0.027256944444444445,471.6973090277778,143.96744317129634,292.9800000000001,1440,12959,11520,112,4.0,4.0,1.56,112,678012,111,0.9910714285714286,4015549996,1060584299,71476
app_8832,11206,0.9727430555555555,0.027256944444444445,565.9050347222222,119.09559953703688,243.75999999999965,1440,12959,11520,106,4.0,4.0,1.56,106,678053,105,0.9905660377358491,4015549996,1060584299,71476
app_6763,11206,0.9727430555555555,0.027256944444444445,404.32855902777777,258.6667010995368,484.49333333333425,1440,12959,11520,101,4.0,4.0,1.56,101,662895,100,0.9900990099009901,4015549996,1060584299,71476
app_2856,11206,0.9727430555555555,0.027256944444444445,657.4819444444445,496.80691620370374,1882.279999999994,1440,12959,11520,206,8.0,8.0,3.13,206,693993,203,0.9854368932038835,4015549996,1060584299,71476
app_647,11205,0.97265625,0.02734375,1220.978732638889,1050.6377340856468,2155.9000000000005,1440,12959,11520,229,4.0,4.0,1.95,229,678047,229,1.0,4015549996,1060584299,71476
app_4650,11205,0.97265625,0.02734375,852.7166666666667,967.8286354166662,1975.2000000000023,1440,12959,11520,160,8.0,8.0,3.13,160,668725,160,1.0,4015549996,1060584299,71476
app_5029,11205,0.97265625,0.02734375,344.5035590277778,737.0133773148149,1290.3999999999996,1440,12959,11520,69,8.0,8.0,3.13,69,678053,69,1.0,4015549996,1060584299,71476
app_512,11205,0.97265625,0.02734375,567.3488715277778,503.74895862268534,1070.6999999999985,1440,12959,11520,106,4.0,4.0,1.56,106,678042,106,1.0,4015549996,1060584299,71476
app_1825,11205,0.97265625,0.02734375,349.61510416666664,466.5039612268518,908.5600000000004,1440,12959,11520,86,8.0,8.0,6.25,86,678827,86,1.0,4015549996,1060584299,71476
