entity_id,row_count,train_end,valid_end,train_sample_windows,valid_sample_windows,normalization_source,selection_rule,app_du
0,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1063
1,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1215
2,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1254
3,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1276
4,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_141
5,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1499
6,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1552
7,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1658
8,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1675
9,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_17
10,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1797
11,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1825
12,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1826
13,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2024
14,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2128
15,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2241
16,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2264
17,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2296
18,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2324
19,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2497
20,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2557
21,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_263
22,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2660
23,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2695
24,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2754
25,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2819
26,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2856
27,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2895
28,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2899
29,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2965
30,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_2989
31,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3073
32,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3136
33,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3183
34,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3238
35,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3275
36,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3422
37,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3472
38,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3511
39,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3514
40,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3632
41,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3641
42,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3665
43,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3707
44,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3715
45,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3755
46,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3924
47,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3979
48,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_3988
49,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4038
50,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4077
51,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4142
52,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4220
53,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4265
54,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4353
55,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4371
56,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_442
57,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4456
58,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4474
59,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4483
60,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_459
61,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_460
62,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4619
63,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4650
64,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4799
65,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4812
66,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_4832
67,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_484
68,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_498
69,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5029
70,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5035
71,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5102
72,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_512
73,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5159
74,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_521
75,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5420
76,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5428
77,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5546
78,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_559
79,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_56
80,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_565
81,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5652
82,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5657
83,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5729
84,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5732
85,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5805
86,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_582
87,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5877
88,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5884
89,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5895
90,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_5936
91,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6026
