machine_id,model_name,average_mae,average_rmse
m_694,linear_regression,4.354367633159813,5.937466629835249
m_639,linear_regression,4.72562152576354,6.204562771348638
m_1223,linear_regression,4.8281106844322474,6.444539872598786
m_103,linear_regression,4.834644158066266,6.413866759474286
m_3244,linear_regression,4.920919829270321,6.642252497697463
m_1508,linear_regression,4.950533534900285,6.687466713518815
m_2165,linear_regression,4.961695816632271,6.602744169694243
m_3330,linear_regression,4.984077119934203,6.403210503682623
m_2967,linear_regression,5.063761400729789,6.717861047449745
m_2773,linear_regression,5.070699840699401,6.750157096798348
m_2366,linear_regression,5.747041320685596,7.422836752993935
m_2014,linear_regression,6.037056196352554,8.584459829760133
m_639,mlp_regressor,4.861542969749613,6.441746264542207
m_694,mlp_regressor,4.941379274060491,6.351830806328132
m_103,mlp_regressor,5.032343686256662,6.66871839446776
m_1223,mlp_regressor,5.116030862410573,6.711709971190811
m_2165,mlp_regressor,5.164023671933573,6.831601688453297
m_1508,mlp_regressor,5.165843934669009,6.989734382797356
m_3330,mlp_regressor,5.197226788472129,6.679847034542441
m_2773,mlp_regressor,5.19969040312406,6.819401154844514
m_2967,mlp_regressor,5.267688988361703,6.997161659596569
m_3244,mlp_regressor,5.615197953102631,7.486405087902071
m_2366,mlp_regressor,5.932119784412989,7.65656735092297
m_2014,mlp_regressor,6.775149305357959,9.37873574751414
m_694,persistence,4.4324329543813645,6.420133023392147
m_3244,persistence,5.089216369682091,7.190549119391779
m_639,persistence,5.4579070136704315,7.251672800031742
m_3330,persistence,5.564903928409026,7.347029677389858
m_103,persistence,5.579046339584316,7.536424165136179
m_1223,persistence,5.608561380989218,7.569818333153816
m_1508,persistence,5.6573836842852225,7.775272703867131
m_2967,persistence,5.752875627676616,7.743347722504026
m_2165,persistence,5.810843081545104,7.692507398513031
m_2014,persistence,5.9983123494264,8.758998681815132
m_2773,persistence,6.084845142188709,8.189635944001347
m_2366,persistence,6.628873858934174,8.812409435352851
m_639,random_forest,4.781484752635204,6.271226963020329
m_103,random_forest,4.8263870499783526,6.420317459436696
m_1223,random_forest,4.8414316864888685,6.449237820045198
m_2165,random_forest,4.972586905906543,6.601021641157156
m_1508,random_forest,4.975948984416427,6.669955514047033
m_3330,random_forest,5.004728042334448,6.41049982476265
m_2967,random_forest,5.0459414361857915,6.697912300695504
m_2773,random_forest,5.131016680627526,6.768491260369179
m_2366,random_forest,5.771159658361552,7.43551612795266
m_694,random_forest,6.056649648096801,7.769756007910761
m_3244,random_forest,6.614555301694537,9.50892505132047
m_2014,random_forest,8.900940463739595,12.45129053916691
m_639,ua_mstcn_lite_quantile_forest,4.80371367248712,6.308530664357476
m_103,ua_mstcn_lite_quantile_forest,4.867680962621253,6.492961622812621
m_1223,ua_mstcn_lite_quantile_forest,4.868215496182297,6.557415041077451
m_1508,ua_mstcn_lite_quantile_forest,4.99135345686769,6.748695609561871
m_3330,ua_mstcn_lite_quantile_forest,4.992237807714354,6.406932357930297
m_2967,ua_mstcn_lite_quantile_forest,5.007826744537987,6.709391785921223
m_2165,ua_mstcn_lite_quantile_forest,5.021449934149964,6.702272438916199
m_2773,ua_mstcn_lite_quantile_forest,5.087009063706489,6.824524825707539
m_2366,ua_mstcn_lite_quantile_forest,5.789562682470508,7.528489610490458
m_694,ua_mstcn_lite_quantile_forest,6.396347274774566,8.220939973846058
m_3244,ua_mstcn_lite_quantile_forest,6.8705960559163275,10.072940162745654
m_2014,ua_mstcn_lite_quantile_forest,9.370377095316998,13.447340131000935
