experiment_id,dataset_split,model_name,policy_name,horizon,mae,rmse,mape,pinball_loss,sla_violation,over_provisioning,under_provisioning,scaling_actions,latency_ms
baseline-persistence-h1,test,persistence,,1,2.394681862601183,3.284881733538035,0.0595016738440231,1.1973409313005916,,,,,0.7895808666944504
baseline-moving-average-h1,test,moving_average,,1,3.2146993120439795,4.348392856502894,0.0789260434536498,1.6073496560219898,,,,,0.7806681096553802
baseline-linear-regression-h1,test,linear_regression,,1,2.2682261611325902,3.1228661353199447,0.0563960090200158,1.1341130805662951,,,,,26.636792346835136
baseline-random-forest-h1,test,random_forest,,1,2.323626716754171,3.1764925257658216,0.0580251353823912,1.1618133583770855,,,,,8599.979415535927
baseline-mlp-regressor-h1,test,mlp_regressor,,1,2.4223274182029697,3.2672189945165413,0.0607546560646155,1.2111637091014849,,,,,753.4115426242352
baseline-persistence-h5,test,persistence,,5,4.569060627502164,6.1618100130934765,0.1116671342056805,2.284530313751082,,,,,0.6089601665735245
baseline-moving-average-h5,test,moving_average,,5,4.386984560078503,5.849675947341114,0.1072817884263501,2.1934922800392513,,,,,0.5879998207092285
baseline-linear-regression-h5,test,linear_regression,,5,3.967008554532287,5.32370062286558,0.0976524284405997,1.9835042772661435,,,,,15.802085399627686
baseline-random-forest-h5,test,random_forest,,5,3.9283024838851817,5.237372582495395,0.0972260657738968,1.9641512419425908,,,,,7625.737875699997
baseline-mlp-regressor-h5,test,mlp_regressor,,5,4.275944847991682,5.602569588346187,0.1052781885426975,2.137972423995841,,,,,669.1651251167059
baseline-persistence-h10,test,persistence,,10,5.1190299950239035,6.78546777399407,0.1260418627057223,2.559514997511952,,,,,1.0420400649309158
baseline-moving-average-h10,test,moving_average,,10,4.845385543346379,6.409041625711578,0.1194958019982054,2.4226927716731894,,,,,0.8585825562477112
baseline-linear-regression-h10,test,linear_regression,,10,4.306625513947346,5.765497045514965,0.106692667287513,2.153312756973673,,,,,15.474041923880575
baseline-random-forest-h10,test,random_forest,,10,4.333985673057675,5.779859353761759,0.1074759702250409,2.1669928365288373,,,,,8784.94762443006
baseline-mlp-regressor-h10,test,mlp_regressor,,10,4.42665763633894,5.781115980675642,0.1092480462988515,2.21332881816947,,,,,466.4212092757225
baseline-ua-mstcn-lite-h1,test,ua_mstcn_lite_quantile_forest,,1,2.348684989544536,3.2136969545347323,0.0582577587047209,0.9106256634663152,,,,,6610.652733594179
baseline-ua-mstcn-lite-h5,test,ua_mstcn_lite_quantile_forest,,5,3.986189660743571,5.304426670099237,0.0984805829891108,1.5532352112842194,,,,,6602.95844450593
baseline-ua-mstcn-lite-h10,test,ua_mstcn_lite_quantile_forest,,10,4.307909450799962,5.7926478607792395,0.1068951601985394,1.6654891315657572,,,,,6579.4427786022425
policy-reactive,test,n/a,reactive_threshold,5,,,,,0.0006180469715698393,0.3505654283028808,1.1669491992555367e-05,43.0,
policy-lagged-tracking,test,n/a,lagged_target_tracking,5,,,,,0.47095179233621753,0.0134479600387198,0.014215703304689879,1616.0,
policy-predictive,test,ua_mstcn_lite_quantile_forest,predictive_uncertainty_aware,5,,,,,0.034610630407911,0.14096132922943064,0.00129205225641398,589.0,
