completed_services,total_services,app_du,elapsed_seconds,worker_id,runtime_seconds,forecast_rows,prediction_rows,policy_rows,policy_series_rows,gate_failure_count
1,139,app_1215,56.535,,,3,4991,3,1664,0
2,139,app_1063,58.599,,,3,4991,3,1664,0
3,139,app_1254,117.261,,,3,4991,3,1664,0
4,139,app_1276,117.926,,,3,4991,3,1664,0
5,139,app_1499,168.848,,,3,4991,3,1664,0
6,139,app_141,171.61,,,3,4991,3,1664,0
7,139,app_1658,220.736,,,3,4991,3,1664,0
8,139,app_1552,221.526,,,3,4991,3,1664,0
9,139,app_1675,272.787,,,3,4991,3,1664,0
10,139,app_17,278.067,,,3,4991,3,1664,0
11,139,app_1797,329.201,,,3,4991,3,1664,0
12,139,app_1825,332.97,,,3,4991,3,1664,0
13,139,app_2024,392.658,,,3,4991,3,1664,0
14,139,app_1826,393.417,,,3,4991,3,1664,0
15,139,app_2241,448.779,,,3,4991,3,1664,0
16,139,app_2128,457.458,,,3,4991,3,1664,0
17,139,app_2264,506.749,,,3,4991,3,1664,0
18,139,app_2296,517.361,,,3,4991,3,1664,0
19,139,app_2324,556.526,,,3,4991,3,1664,0
20,139,app_2497,572.3,,,3,4991,3,1664,0
21,139,app_2557,611.624,,,3,4991,3,1664,0
22,139,app_263,627.571,,,3,4991,3,1664,0
23,139,app_2660,668.043,,,3,4991,3,1664,0
24,139,app_2695,689.672,,,3,4991,3,1664,0
25,139,app_2754,723.521,,,3,4991,3,1664,0
26,139,app_2819,748.595,,,3,4991,3,1664,0
27,139,app_2856,778.909,,,3,4991,3,1664,0
28,139,app_2895,810.388,,,3,4991,3,1664,0
29,139,app_2899,836.335,,,3,4991,3,1664,0
30,139,app_2965,865.239,,,3,4991,3,1664,0
31,139,app_2989,897.568,,,3,4991,3,1664,0
32,139,app_3073,926.476,,,3,4991,3,1664,0
33,139,app_3136,951.73,,,3,4991,3,1664,0
34,139,app_3183,985.826,,,3,4991,3,1664,0
35,139,app_3238,1003.457,,,3,4991,3,1664,0
36,139,app_3275,1035.078,,,3,4991,3,1664,0
37,139,app_3422,1062.428,,,3,4991,3,1664,0
38,139,app_3472,1092.228,,,3,4991,3,1664,0
39,139,app_3511,1115.513,,,3,4991,3,1664,0
40,139,app_3514,1148.591,,,3,4991,3,1664,0
41,139,app_3632,1169.599,,,3,4991,3,1664,0
42,139,app_3641,1205.357,,,3,4991,3,1664,0
43,139,app_3665,1221.123,,,3,4991,3,1664,0
44,139,app_3707,1264.148,,,3,4991,3,1664,0
45,139,app_3715,1275.949,,,3,4991,3,1664,0
46,139,app_3755,1313.427,,,3,4991,3,1664,0
47,139,app_3924,1331.929,,,3,4991,3,1664,0
48,139,app_3979,1370.02,,,3,4991,3,1664,0
49,139,app_3988,1389.044,,,3,4991,3,1664,0
50,139,app_4038,1424.157,,,3,4991,3,1664,0
51,139,app_4077,1450.188,,,3,4991,3,1664,0
52,139,app_4142,1479.547,,,3,4991,3,1664,0
53,139,app_4220,1505.212,,,3,4991,3,1664,0
54,139,app_4265,1542.373,,,3,4991,3,1664,0
55,139,app_4353,1563.893,,,3,4991,3,1664,0
56,139,app_4371,1598.353,,,3,4991,3,1664,0
57,139,app_442,1621.438,,,3,4991,3,1664,0
58,139,app_4456,1653.776,,,3,4991,3,1664,0
59,139,app_4474,1677.227,,,3,4991,3,1664,0
60,139,app_4483,1708.929,,,3,4991,3,1664,0
61,139,app_459,1737.586,,,3,4991,3,1664,0
62,139,app_460,1773.44,,,3,4991,3,1664,0
63,139,app_4619,1797.324,,,3,4991,3,1664,0
64,139,app_4650,1831.587,,,3,4991,3,1664,0
65,139,app_4799,1859.036,,,3,4991,3,1664,0
66,139,app_4812,1889.539,,,3,4991,3,1664,0
67,139,app_4832,1916.529,,,3,4991,3,1664,0
68,139,app_484,1949.041,,,3,4991,3,1664,0
69,139,app_498,1974.734,,,3,4991,3,1664,0
70,139,app_5029,2007.688,,,3,4991,3,1664,0
71,139,app_5035,2032.24,,,3,4991,3,1664,0
72,139,app_5102,2065.121,,,3,4991,3,1664,0
73,139,app_512,2087.796,,,3,4991,3,1664,0
74,139,app_5159,2123.813,,,3,4991,3,1664,0
75,139,app_521,2142.388,,,3,4991,3,1664,0
76,139,app_5420,2180.984,,,3,4991,3,1664,0
77,139,app_5428,2200.944,,,3,4991,3,1664,0
78,139,app_5546,2238.073,,,3,4991,3,1664,0
79,139,app_559,2257.453,,,3,4991,3,1664,0
80,139,app_56,2292.803,,,3,4991,3,1664,0
81,139,app_565,2313.913,,,3,4991,3,1664,0
82,139,app_5652,2355.443,,,3,4991,3,1664,0
83,139,app_5657,2373.628,,,3,4991,3,1664,0
84,139,app_5729,2413.191,,,3,4991,3,1664,0
85,139,app_5732,2427.439,,,3,4991,3,1664,0
86,139,app_5805,2467.292,,,3,4991,3,1664,0
87,139,app_582,2484.691,,,3,4991,3,1664,0
88,139,app_5877,2524.963,,,3,4991,3,1664,0
89,139,app_5884,2540.686,,,3,4991,3,1664,0
90,139,app_5895,2581.608,,,3,4991,3,1664,0
91,139,app_5936,2596.714,,,3,4991,3,1664,0
92,139,app_6026,2634.075,,,3,4991,3,1664,0
93,139,app_6034,2651.925,,,3,4991,3,1664,0
94,139,app_6140,2695.444,,,3,4991,3,1664,0
95,139,app_6217,2713.789,,,3,4991,3,1664,0
96,139,app_647,2750.473,,,3,4991,3,1664,0
97,139,app_6491,2774.568,,,3,4991,3,1664,0
98,139,app_6593,2808.301,,,3,4991,3,1664,0
99,139,app_6597,2831.21,,,3,4991,3,1664,0
100,139,app_66,2859.753,,,3,4991,3,1664,0
101,139,app_6651,2887.921,,,3,4991,3,1664,0
102,139,app_6658,2917.691,,,3,4991,3,1664,0
103,139,app_6763,2939.928,,,3,4991,3,1664,0
104,139,app_6791,2976.354,,,3,4991,3,1664,0
105,139,app_6911,2993.386,,,3,4991,3,1664,0
106,139,app_7048,3027.693,,,3,4991,3,1664,0
107,139,app_7073,3055.333,,,3,4991,3,1664,0
108,139,app_7227,3091.359,,,3,4991,3,1664,0
109,139,app_7264,3119.462,,,3,4991,3,1664,0
110,139,app_732,3144.48,,,3,4991,3,1664,0
111,139,app_7414,3177.007,,,3,4991,3,1664,0
112,139,app_7419,3196.923,,,3,4991,3,1664,0
113,139,app_7475,3234.324,,,3,4991,3,1664,0
114,139,app_7505,3255.666,,,3,4991,3,1664,0
115,139,app_7766,3293.727,,,3,4991,3,1664,0
116,139,app_7791,3312.453,,,3,4991,3,1664,0
117,139,app_7876,3352.357,,,3,4991,3,1664,0
118,139,app_7890,3373.074,,,3,4991,3,1664,0
119,139,app_7908,3405.743,,,3,4991,3,1664,0
120,139,app_8205,3421.454,,,3,4991,3,1664,0
121,139,app_8274,3463.428,,,3,4991,3,1664,0
122,139,app_8360,3476.168,,,3,4991,3,1664,0
123,139,app_8492,3515.533,,,3,4991,3,1664,0
124,139,app_8532,3531.004,,,3,4991,3,1664,0
125,139,app_8661,3572.47,,,3,4991,3,1664,0
126,139,app_8719,3584.638,,,3,4991,3,1664,0
127,139,app_8727,3626.679,,,3,4991,3,1664,0
128,139,app_8775,3644.395,,,3,4991,3,1664,0
129,139,app_8832,3685.867,,,3,4991,3,1664,0
130,139,app_888,3704.704,,,3,4991,3,1664,0
131,139,app_8981,3746.202,,,3,4991,3,1664,0
132,139,app_9030,3760.837,,,3,4991,3,1664,0
133,139,app_9081,3800.602,,,3,4991,3,1664,0
134,139,app_9352,3815.972,,,3,4991,3,1664,0
135,139,app_9529,3852.616,,,3,4991,3,1664,0
136,139,app_9541,3864.963,,,3,4991,3,1664,0
137,139,app_9678,3905.279,,,3,4991,3,1664,0
138,139,app_9733,3918.278,,,3,4991,3,1664,0
139,139,app_9741,3959.261,,,3,4991,3,1664,0
