app_du,selection_role,planned_worker,process_id,runtime_wall_ms,fit_eval_ms_sum,forecast_rows,prediction_rows,policy_rows,policy_series_rows,estimated_service_artifact_bytes,gate_failure_count
app_141,cal_highest_load_guard,0,23360,49576.213800000005,49553.55570000029,3,4991,3,1664,969040,0
app_1675,pilot_high_load_low_burst,0,23360,53716.64609999971,53694.019999999,3,4991,3,1664,995775,0
app_2128,cal_lowest_burst_guard,1,3380,53271.55589999984,53252.080499999465,3,4991,3,1664,989025,0
app_2557,pilot_low_load_low_burst,0,23360,58681.57289999999,58639.60390000102,3,4991,3,1664,996427,0
app_3422,cal_lowest_load_guard,1,3380,61199.40290000068,61179.1390999997,3,4991,3,1664,979359,0
app_3665,pilot_high_load_high_burst,1,3380,51576.66739999968,51558.809299999666,3,4991,3,1664,1015190,0
app_521,pilot_median_anchor,0,23360,57192.79370000004,57170.95149999932,3,4991,3,1664,954583,0
app_7227,cal_peak_to_mean_guard,1,3380,58028.164299999844,58007.212000001346,3,4991,3,1664,974204,0
app_7264,pilot_low_load_high_burst,1,3380,64924.89290000049,64886.84210000065,3,4991,3,1664,1004739,0
app_8205,cal_highest_burst_guard,0,23360,49608.11839999951,49585.63529999992,3,4991,3,1664,986567,0
