scale_out_margin,cooldown_steps,sla_violation,over_provisioning,under_provisioning,scaling_actions,average_capacity
0.0,0,0.19777503090234858,0.06259001898958784,0.009354709644966078,1617,0.5233712059370608
0.0,3,0.14400494437577255,0.07839597368564626,0.006334223360507716,906,0.5421976469175775
0.0,8,0.11372064276885044,0.08927571002242957,0.0043344319819064794,589,0.555077174632962
0.0,12,0.10074165636588381,0.09488742379487111,0.004264299957374375,481,0.5607590204299356
0.05,0,0.1557478368355995,0.07972724304252025,0.007221584222461197,1617,0.542641555412498
0.05,3,0.08838071693448703,0.10103638242468263,0.0040394833519079585,906,0.5671327956652137
0.05,8,0.06180469715698393,0.11470164503616144,0.002313603513951819,589,0.5825239381146485
0.05,12,0.05871446229913473,0.12038081852253181,0.0022320061547532574,481,0.5882847089602176
0.1,0,0.11186650185414092,0.1004564783019254,0.005185445478467979,1617,0.5654069294158964
0.1,3,0.05686032138442522,0.12599071050309255,0.002530653480791318,906,0.5935959536147403
0.1,8,0.034610630407911,0.14096132922943064,0.00129205225641398,589,0.6098051735654556
0.1,12,0.030902348578491966,0.14748210765483766,0.0010722663150459551,481,0.6165457379322307
0.15,0,0.06489493201483312,0.1251127673084571,0.0030990243314261774,1617,0.5921496395694699
0.15,3,0.032756489493201486,0.15256237737525663,0.0014352019952887094,909,0.6212630719724069
0.15,8,0.015451174289245983,0.16905514765271346,0.0007475686247310902,579,0.6384434756204213
0.15,12,0.014215080346106305,0.17449101730877167,0.0005047982608832758,481,0.6441221156403274
